Name (Institution or Individual),Startups,Startup Count,Investment Lists,LinkedIn Profile,Email,Notes,Contacts,Investor Type
Undisclosed Angel Investors,"ProductFlo,Dozuki (acquired by Marlin Equity Partners in 2021),V3D Printing,Response,Encycam,Mimic Robotics,COSMODOT,Evolinq,Tanso3D (ceased operations in 2024),Quarter20,ReilAI,Manufacturo,Donut Labs,Kyrall,Twinview,Leap71,Fab.ai,XMPro,Cerebital (Nora IPLM),Cadify.ai,Sheetbuild,Zenesis,Omnae,AI MakerSpace,Silsync,Enzyme APD,Numorpho Cybernetic Systems (NUMO),heatshape,Green Factory AI,Elevating Patterns,Struck,Fabriom,AirWorks,OpenSpace,Medra,Leucine,Secondmind,Digital Twin AI,Vizcom,explore,PrimusAI,ShapesXR,PAILOT,MapShots,Figurement,MOVEdot,Vestigas,F4 Industries,Artura3D,Mulin,RBF MORPH,PlaSiV,SUFFISCIENS,MontBlancAI,Bill-X Gmbh,Violet Labs",56,"""Cognitive Thread (PLM, MBSE, DT)"",Bleeding Edge BIM (AEC/BIM),""Adaptive Manufacturing (AM, CAM, CNC)"",Streamlined Supply Chain (SCM),""Adaptive Manufacturing (AM, CAM, CNC)"",""SW+HW=Innovation (Robotics, Drones)"",""Factory Futures (MES, IIOT)"",Streamlined Supply Chain (SCM),""SW+HW=Innovation (Robotics, Drones)"",""Cognitive Thread (PLM, MBSE, DT)"",""Factory Futures (MES, IIOT)"",""Factory Futures (MES, IIOT)"",Design Intelligence (CAD),Design Intelligence (CAD),Bleeding Edge BIM (AEC/BIM),""Extreme Analysis (CAE, CFD, FEA, QC)"",""Factory Futures (MES, IIOT)"",""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",""Cognitive Thread (PLM, MBSE, DT)"",Design Intelligence (CAD),Design Intelligence (CAD),Bleeding Edge BIM (AEC/BIM),Streamlined Supply Chain (SCM),""Knowledge Engineering (R&D, Learning)"",Design Intelligence (CAD),Bleeding Edge BIM (AEC/BIM),""Factory Futures (MES, IIOT)"",""Extreme Analysis (CAE, CFD, FEA, QC)"",""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",""Cognitive Thread (PLM, MBSE, DT)"",""Factory Futures (MES, IIOT)"",Streamlined Supply Chain (SCM),Bleeding Edge BIM (AEC/BIM),Bleeding Edge BIM (AEC/BIM),""SW+HW=Innovation (Robotics, Drones)"",""Factory Futures (MES, IIOT)"",""Extreme Analysis (CAE, CFD, FEA, QC)"",""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",Design Intelligence (CAD),""Cognitive Thread (PLM, MBSE, DT)"",Design Intelligence (CAD),Bleeding Edge BIM (AEC/BIM),""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",Bleeding Edge BIM (AEC/BIM),""Cognitive Thread (PLM, MBSE, DT)"",""Factory Futures (MES, IIOT)"",Bleeding Edge BIM (AEC/BIM),""Adaptive Manufacturing (AM, CAM, CNC)"",Design Intelligence (CAD),""SW+HW=Innovation (Robotics, Drones)"",""Extreme Analysis (CAE, CFD, FEA, QC)"",""Extreme Analysis (CAE, CFD, FEA, QC)"",""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",""Factory Futures (MES, IIOT)"",Streamlined Supply Chain (SCM),""Cognitive Thread (PLM, MBSE, DT)""",,,,,Angel
Y-Combinator,"Leela AI,Sudozi,Zelos Cloud,MorphoAI,Poka Labs,artifact.engineer,Adam,Silimate,CoLab,GroundControl,ArchiLabs,Nextmv,Boltline,Campfire,Kalam Labs,Rescale,Dalus,Mandel AI,Plasticity,camfer,NavierAI,CoFactr,AON3D,Epsilon3,Hestus,RevisionDojo,Axial Composites,DraftAid,Atomic Industries,Mobius Materials,Jiga,MOVEdot,Godela.ai",33,"""Factory Futures (MES, IIOT)"",Streamlined Supply Chain (SCM),""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",Design Intelligence (CAD),Streamlined Supply Chain (SCM),""Cognitive Thread (PLM, MBSE, DT)"",Design Intelligence (CAD),Design Intelligence (CAD),""Cognitive Thread (PLM, MBSE, DT)"",""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",Bleeding Edge BIM (AEC/BIM),""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",""Extreme Analysis (CAE, CFD, FEA, QC)"",Design Intelligence (CAD),""Knowledge Engineering (R&D, Learning)"",""Extreme Analysis (CAE, CFD, FEA, QC)"",""Cognitive Thread (PLM, MBSE, DT)"",Streamlined Supply Chain (SCM),Design Intelligence (CAD),Design Intelligence (CAD),""Extreme Analysis (CAE, CFD, FEA, QC)"",Streamlined Supply Chain (SCM),""SW+HW=Innovation (Robotics, Drones)"",""Factory Futures (MES, IIOT)"",Design Intelligence (CAD),""Knowledge Engineering (R&D, Learning)"",""Adaptive Manufacturing (AM, CAM, CNC)"",Design Intelligence (CAD),""SW+HW=Innovation (Robotics, Drones)"",Streamlined Supply Chain (SCM),Streamlined Supply Chain (SCM),""Factory Futures (MES, IIOT)"",""Extreme Analysis (CAE, CFD, FEA, QC)""",,,,,Institutional Investors
Bootstrapped,"StatStream,Share PLM,Pivot,COSMON,Orthogonal,Rhize Manufacturing Hub,Perception Manufacturing,Gradient Control,Spendkey,Acceleer,RD8,Taiyaki,Data Time Space,Designair,TimeSeer,Vendra,DivergenceAI,Aixma,SyncTwin,NYNE Gmbh,Kabandy,CADEXSOFT,VisionXt S.r.l.,Mak3r.ai,Flow Software,Feather Solutions,TwinMo,Werk24,BimDrone,Santinela",30,"""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",""Knowledge Engineering (R&D, Learning)"",Streamlined Supply Chain (SCM),Design Intelligence (CAD),Design Intelligence (CAD),""Factory Futures (MES, IIOT)"",""Factory Futures (MES, IIOT)"",Design Intelligence (CAD),Streamlined Supply Chain (SCM),""Factory Futures (MES, IIOT)"",Design Intelligence (CAD),Design Intelligence (CAD),""Factory Futures (MES, IIOT)"",Bleeding Edge BIM (AEC/BIM),""Factory Futures (MES, IIOT)"",Design Intelligence (CAD),""Extreme Analysis (CAE, CFD, FEA, QC)"",Bleeding Edge BIM (AEC/BIM),""Cognitive Thread (PLM, MBSE, DT)"",Bleeding Edge BIM (AEC/BIM),Bleeding Edge BIM (AEC/BIM),""Adaptive Manufacturing (AM, CAM, CNC)"",Bleeding Edge BIM (AEC/BIM),Streamlined Supply Chain (SCM),""Factory Futures (MES, IIOT)"",""Extreme Analysis (CAE, CFD, FEA, QC)"",""Factory Futures (MES, IIOT)"",""Factory Futures (MES, IIOT)"",Bleeding Edge BIM (AEC/BIM),""Factory Futures (MES, IIOT)""",,,,,Institutional Investors
Insight Partners,"CoLab,Instrumental,BeyondMath,Tulip Interfaces,Software Defined Automation,GreenLite,MaterialsZone,Laminar,LandingAI,SimScale,Augury,Seeq,Monolith (acquired by CoreWeave in 2025),Aquant,nTop,Parter",16,"""Cognitive Thread (PLM, MBSE, DT)"",""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",""Extreme Analysis (CAE, CFD, FEA, QC)"",""Factory Futures (MES, IIOT)"",""Factory Futures (MES, IIOT)"",Bleeding Edge BIM (AEC/BIM),""Extreme Analysis (CAE, CFD, FEA, QC)"",""Factory Futures (MES, IIOT)"",""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",""Extreme Analysis (CAE, CFD, FEA, QC)"",""SW+HW=Innovation (Robotics, Drones)"",""Factory Futures (MES, IIOT)"",""Extreme Analysis (CAE, CFD, FEA, QC)"",""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",Design Intelligence (CAD),Streamlined Supply Chain (SCM)",,,,Joshua Fredberg,Institutional Investors
Plug and Play,"Dirac,Rescale,CELUS,BaseTwo,AMESA,Acerta,etalytics,""TopoLogic, Inc"",KronosAI,MorphoAI,Tulip Interfaces,AI Materia,Track3D",13,"""Factory Futures (MES, IIOT)"",""Extreme Analysis (CAE, CFD, FEA, QC)"",""Cognitive Thread (PLM, MBSE, DT)"",""Factory Futures (MES, IIOT)"",""Factory Futures (MES, IIOT)"",""Factory Futures (MES, IIOT)"",""Factory Futures (MES, IIOT)"",""Knowledge Engineering (R&D, Learning)"",""Extreme Analysis (CAE, CFD, FEA, QC)"",Design Intelligence (CAD),""Factory Futures (MES, IIOT)"",""Cognitive Thread (PLM, MBSE, DT)"",Bleeding Edge BIM (AEC/BIM)",,,,,Institutional Investors
Lux Capital,"Pictorus,Womp,Desktop Metal (acquired by Nano Dimension in 2025),Formic,Voxel,Bright Machines,Lumafield,Epsilon3,Hadrian,Bild,OpenSpace,Nominal",12,"""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",Design Intelligence (CAD),""Adaptive Manufacturing (AM, CAM, CNC)"",""SW+HW=Innovation (Robotics, Drones)"",""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",""SW+HW=Innovation (Robotics, Drones)"",""SW+HW=Innovation (Robotics, Drones)"",""Factory Futures (MES, IIOT)"",""Factory Futures (MES, IIOT)"",""Cognitive Thread (PLM, MBSE, DT)"",Bleeding Edge BIM (AEC/BIM),""Factory Futures (MES, IIOT)""",,,,,Institutional Investors
Andreessen Horowitz (a16z),"Common Sense Machines,Skydio,Rescale,Kaedim,Hadrian,Labster,Backflip AI,Leo AI,artifact.engineer,EverCurrent,Sloyd",11,"Design Intelligence (CAD),""SW+HW=Innovation (Robotics, Drones)"",""Extreme Analysis (CAE, CFD, FEA, QC)"",Bleeding Edge BIM (AEC/BIM),""Factory Futures (MES, IIOT)"",""Knowledge Engineering (R&D, Learning)"",Design Intelligence (CAD),Design Intelligence (CAD),""Cognitive Thread (PLM, MBSE, DT)"",""Cognitive Thread (PLM, MBSE, DT)"",Design Intelligence (CAD)",,,,,Institutional Investors
NVentures (NVIDIA),"PhysicsX,Cusp AI,Sight Machine,Luminary Cloud,nTop,Machina Labs,Morphorm,Rescale,Bright Machines,Compute Maritime,Vention",11,"""Extreme Analysis (CAE, CFD, FEA, QC)"",""Cognitive Thread (PLM, MBSE, DT)"",""Factory Futures (MES, IIOT)"",""Extreme Analysis (CAE, CFD, FEA, QC)"",Design Intelligence (CAD),""SW+HW=Innovation (Robotics, Drones)"",Design Intelligence (CAD),""Extreme Analysis (CAE, CFD, FEA, QC)"",""SW+HW=Innovation (Robotics, Drones)"",Design Intelligence (CAD),""SW+HW=Innovation (Robotics, Drones)""",,,,,VC Fund
Alumni Ventures,"BQP,Glacier,ControlRooms.ai,Machina Labs,Divergent,Propel Software,Zoo,Citrine Informatics,Lumafield,Dirac",10,"""Extreme Analysis (CAE, CFD, FEA, QC)"",""SW+HW=Innovation (Robotics, Drones)"",""Augmented Operations (MOM, CMMS, AR/VR, SLM)"",""SW+HW=Innovation (Robotics, Drones)"",""Factory Futures (MES, IIOT)"",""Cognitive Thread (PLM, MBSE, DT)"",Design Intelligence (CAD),""Cognitive Thread (PLM, MBSE, DT)"",""SW+HW=Innovation (Robotics, Drones)"",""Factory Futures (MES, IIOT)""",,,,,VC Fund
Innovate UK,"Voxshell,Matrac,Planarific,XYZ Reality,MatAlytics,Authentise,Gravity Sketch,Infinitive (formerly CAE Tech),Axial3D",9,"""Extreme Analysis (CAE, CFD, FEA, QC)"",""Cognitive Thread (PLM, MBSE, DT)"",Bleeding Edge BIM (AEC/BIM),Bleeding Edge BIM (AEC/BIM),""Factory Futures (MES, IIOT)"",""Factory Futures (MES, IIOT)"",Design Intelligence (CAD),Design Intelligence (CAD),Design Intelligence (CAD)",,,,,Individual
